"emp_no","first_name","last_name","title","from_date","to_date"
10703,"Giri","Baumann","Engineer","1996-05-12","2002-05-12"
10703,"Giri","Baumann","Senior Engineer","2002-05-12","9999-01-01"
10708,"Aral","Erman","Staff","1999-11-09","9999-01-01"
10714,"Aran","Sadowsky","Engineer","1999-11-24","9999-01-01"
10715,"Goa","Poehlman","Engineer","1999-10-28","9999-01-01"
10721,"Bernd","Redmiles","Staff","1999-07-15","9999-01-01"
10733,"Sangeeta","Rodham","Senior Staff","2002-02-19","9999-01-01"
10733,"Sangeeta","Rodham","Staff","1996-02-20","2002-02-19"
10756,"Paddy","Brizzi","Senior Engineer","1997-10-07","9999-01-01"
10766,"Nathalie","Standera","Staff","1999-09-18","9999-01-01"
10804,"Terresa","Benantar","Staff","1997-06-09","9999-01-01"
10811,"Ashish","Fortenbacher","Engineer","1997-07-08","9999-01-01"
10818,"Huan","Monarch","Staff","1998-04-09","9999-01-01"
10823,"Arfst","Mikschl","Staff","1999-08-19","9999-01-01"
10827,"Willard","Danley","Staff","1996-11-07","9999-01-01"
10831,"Toong","Driscoll","Technique Leader","1998-02-22","9999-01-01"
10849,"Makato","Mayerwieser","Assistant Engineer","1995-06-25","2001-06-24"
10849,"Makato","Mayerwieser","Engineer","2001-06-24","9999-01-01"
10852,"Hercules","Munck","Technique Leader","1999-08-21","9999-01-01"
10854,"Jagoda","Nannarelli","Engineer","1998-07-13","9999-01-01"
10858,"Kenroku","Gonthier","Engineer","1997-01-01","2002-01-01"
10858,"Kenroku","Gonthier","Senior Engineer","2002-01-01","9999-01-01"
10886,"Sushant","Begiun","Engineer","1995-03-26","2000-03-25"
10886,"Sushant","Begiun","Senior Engineer","2000-03-25","9999-01-01"
10900,"Ferdinand","Prenel","Senior Engineer","1995-09-07","9999-01-01"
10916,"Make","Spataro","Engineer","1998-03-12","9999-01-01"
10946,"Shaz","Kabayashi","Staff","1996-10-26","9999-01-01"
10947,"Gor","Usery","Senior Staff","2001-11-15","9999-01-01"
10947,"Gor","Usery","Staff","1995-11-16","2001-11-15"
10987,"Flemming","Baezner","Engineer","1997-05-21","9999-01-01"
10995,"Chenye","Hertweck","Senior Staff","1997-07-19","9999-01-01"
11013,"Breannda","Vesel","Engineer","1999-12-03","9999-01-01"
11047,"Heping","Gluchowski","Staff","1995-08-14","9999-01-01"
11049,"Gift","Apsitis","Senior Staff","2000-05-11","9999-01-01"
11049,"Gift","Apsitis","Staff","1995-05-12","2000-05-11"
11055,"Shaleah","Neiman","Staff","1998-03-08","9999-01-01"
11057,"Adly","Vural","Staff","1996-07-12","9999-01-01"
11063,"Zhenbing","Gente","Staff","1996-01-09","9999-01-01"
11066,"Shaz","Langford","Senior Staff","1996-04-30","9999-01-01"
11075,"Karsten","Belinskaya","Senior Engineer","1998-05-06","9999-01-01"
11107,"Martijn","Meriste","Engineer","1999-09-09","9999-01-01"
11115,"Sahrah","Demos","Senior Engineer","1999-01-13","9999-01-01"
11143,"Yongdong","Rosen","Engineer","1996-05-09","9999-01-01"
11158,"Masaki","Hagimont","Engineer","1996-04-20","2002-04-20"
11158,"Masaki","Hagimont","Senior Engineer","2002-04-20","9999-01-01"
11165,"Kolar","Pietrzykowski","Senior Engineer","1995-04-30","9999-01-01"
11168,"Shmuel","Tetzlaff","Senior Staff","2001-07-15","9999-01-01"
11168,"Shmuel","Tetzlaff","Staff","1996-07-15","2001-07-15"
11174,"Akhilish","Milicia","Engineer","1999-06-07","9999-01-01"
11177,"Chrisa","dAstous","Senior Engineer","1999-09-11","9999-01-01"
11185,"Aloys","Baezner","Senior Staff","2000-01-26","9999-01-01"
11185,"Aloys","Baezner","Staff","1995-01-26","2000-01-26"
11201,"Jouko","Masaki","Staff","1995-10-31","9999-01-01"
11209,"Xuejun","Penn","Engineer","1999-04-25","9999-01-01"
11213,"Vugranam","Munoz","Technique Leader","1999-02-04","9999-01-01"
11254,"Danel","Rindone","Staff","1998-12-19","9999-01-01"
11266,"Florina","Rohrbach","Engineer","1997-05-12","2002-05-12"
11266,"Florina","Rohrbach","Senior Engineer","2002-05-12","9999-01-01"
11285,"Randy","Koshino","Staff","1999-11-23","9999-01-01"
11306,"Subhankar","Reeken","Senior Staff","1996-11-20","9999-01-01"
11316,"Ult","Farrar","Assistant Engineer","1997-07-18","9999-01-01"
11321,"Heping","Fontan","Senior Engineer","1996-04-05","9999-01-01"
11392,"Fatemeh","Reeken","Staff","1999-04-21","9999-01-01"
11396,"Anneke","Servieres","Engineer","1997-02-04","9999-01-01"
11401,"Huan","Merey","Staff","1995-04-15","9999-01-01"
11408,"Shahab","Serot","Staff","1996-02-15","9999-01-01"
11410,"Gro","Vendrig","Engineer","1999-10-25","9999-01-01"
11430,"Georgi","Klassen","Staff","1997-07-06","9999-01-01"
11439,"Fei","Wendorf","Engineer","1997-05-23","9999-01-01"
11448,"Yolla","Biron","Technique Leader","1995-08-26","9999-01-01"
11456,"Anyuan","Seuren","Engineer","1999-03-20","9999-01-01"
11475,"Dekang","Siegrist","Staff","1998-09-14","9999-01-01"
11479,"Shridhar","Pleszkun","Staff","1999-02-10","9999-01-01"
11550,"Divine","Georgakopoulos","Engineer","1997-12-16","9999-01-01"
11558,"Sungwon","Hofting","Technique Leader","1996-09-18","9999-01-01"
11586,"Shridhar","Orsini","Staff","1997-09-09","9999-01-01"
11590,"Adel","Eppinger","Engineer","1997-06-26","9999-01-01"
11661,"Candida","Moffat","Engineer","1995-08-24","9999-01-01"
11690,"Domenick","Raczkowsky","Staff","1997-09-23","9999-01-01"
11706,"Tesuya","Remmers","Staff","1999-03-24","9999-01-01"
11718,"Richard","Marshall","Staff","1998-01-01","9999-01-01"
11722,"Atreyi","Sudbeck","Engineer","1997-12-18","9999-01-01"
11730,"Tzu","Delaune","Staff","1997-11-13","9999-01-01"
11737,"Martina","Garnier","Assistant Engineer","1995-07-11","9999-01-01"
11742,"Vasilis","Narwekar","Senior Staff","1996-04-12","9999-01-01"
11743,"Clyde","Huttel","Engineer","1999-06-18","9999-01-01"
11756,"Abdelwaheb","Vakili","Engineer","1999-11-26","9999-01-01"
11763,"Yuriy","Liesche","Engineer","1997-04-18","9999-01-01"
11774,"Aron","Wroclawski","Engineer","1998-11-26","9999-01-01"
11786,"Sarita","Birch","Staff","1996-02-28","9999-01-01"
11806,"Shan","Leivant","Engineer","1996-04-02","9999-01-01"
11823,"Weiyi","Iacovou","Senior Engineer","1995-10-23","9999-01-01"
11869,"Fumino","Luca","Engineer","1996-08-12","9999-01-01"
11873,"Venkatesan","Reeken","Staff","1998-11-14","9999-01-01"
11874,"Baoqiu","Motley","Senior Staff","2001-06-10","9999-01-01"
11874,"Baoqiu","Motley","Staff","1996-06-10","2001-06-10"
11884,"Patricia","Moehrke","Senior Staff","1998-06-18","9999-01-01"
11889,"Guiseppe","Baez","Senior Engineer","1996-12-25","9999-01-01"
11893,"Vitali","Zobel","Senior Engineer","1999-10-02","9999-01-01"
11899,"Bodh","Munke","Engineer","1996-01-19","9999-01-01"
11917,"Jiakeng","VanScheik","Engineer","1997-03-08","9999-01-01"
11925,"Feiyu","Pashtan","Staff","1998-10-25","9999-01-01"
11926,"Leni","Felcyn","Engineer","1998-09-18","9999-01-01"
11937,"Zissis","Baba","Staff","1996-04-19","9999-01-01"
11940,"Ult","Anido","Assistant Engineer","1996-11-02","9999-01-01"
11947,"Kiyomitsu","Lortz","Staff","1995-10-24","9999-01-01"
11952,"Mayuko","Munro","Engineer","1995-12-19","9999-01-01"
11961,"Sumant","Birdsall","Senior Staff","1997-06-26","9999-01-01"
12024,"Mayumi","Lanzelotte","Staff","1997-11-03","9999-01-01"
12030,"Shuky","Cromarty","Staff","1996-06-24","9999-01-01"
12060,"Toshimi","Antonakopoulos","Technique Leader","1996-06-21","9999-01-01"
12084,"Morris","Krohm","Engineer","1997-01-01","2002-01-01"
12084,"Morris","Krohm","Senior Engineer","2002-01-01","9999-01-01"
12090,"Shigenori","Angelopoulos","Engineer","1999-10-03","9999-01-01"
12106,"Zissis","Cangellaris","Staff","1995-10-24","9999-01-01"
12140,"Xudong","Paciorek","Senior Staff","1996-11-15","9999-01-01"
12143,"Zeljko","Denti","Engineer","1996-01-06","2002-01-05"
12143,"Zeljko","Denti","Senior Engineer","2002-01-05","9999-01-01"
12158,"Theirry","Masada","Engineer","1999-02-17","9999-01-01"
12164,"Muneo","Chachaty","Engineer","1996-05-14","9999-01-01"
12174,"Slavian","Plavsic","Senior Engineer","1996-01-09","9999-01-01"
12178,"Miyeon","Chinal","Staff","1995-04-26","9999-01-01"
12187,"Vishv","Bressoud","Staff","1998-09-22","9999-01-01"
12188,"Vasilis","Waleschkowski","Senior Engineer","1997-03-20","9999-01-01"
12196,"JoAnne","Byoun","Engineer","1999-08-22","9999-01-01"
12200,"Tayeb","Reinhart","Technique Leader","1999-03-08","9999-01-01"
12202,"Fai","Slaats","Staff","1997-12-21","9999-01-01"
12226,"Kankanahalli","Joslin","Engineer","1997-02-07","9999-01-01"
12235,"Honesty","Haumacher","Staff","1997-07-10","9999-01-01"
12239,"Parviz","Kalloufi","Staff","1999-11-20","9999-01-01"
12259,"Juichirou","Hofting","Staff","1998-05-26","9999-01-01"
12282,"Tadahiro","Delgrange","Engineer","1999-10-06","9999-01-01"
12309,"Hilari","Potthoff","Engineer","1995-10-10","9999-01-01"
12317,"Weiyi","Crabtree","Staff","1996-08-11","9999-01-01"
12321,"Heekeun","Schicker","Staff","1999-04-03","9999-01-01"
12322,"Mohammed","Kambil","Engineer","1996-11-06","2001-11-06"
12322,"Mohammed","Kambil","Senior Engineer","2001-11-06","9999-01-01"
12323,"Arra","Zweizig","Staff","1996-10-24","9999-01-01"
12326,"Jahangir","Henders","Engineer","1998-09-13","9999-01-01"
12339,"Pranay","Czaja","Staff","1996-07-18","9999-01-01"
12364,"Neelam","Cummings","Assistant Engineer","1998-11-02","9999-01-01"
12379,"Kazuhisa","Serna","Technique Leader","1996-06-02","9999-01-01"
12390,"Kwangsub","Kilgour","Staff","1997-07-09","9999-01-01"
12394,"Stevo","Reeken","Engineer","1998-09-26","9999-01-01"
12400,"Genki","Winter","Staff","1999-02-28","9999-01-01"
12408,"Rasiah","Sudkamp","Senior Engineer","1995-04-18","9999-01-01"
12426,"Shahaf","Valtorta","Technique Leader","1999-05-17","9999-01-01"
12436,"Dines","Usdin","Assistant Engineer","1998-08-27","9999-01-01"
12452,"Hiroyasu","Francisci","Engineer","1997-09-28","9999-01-01"
12455,"Goncalo","Waeselynck","Engineer","1997-04-06","9999-01-01"
12456,"Bodh","Speel","Technique Leader","1996-06-20","9999-01-01"
12474,"Remco","Maquelin","Assistant Engineer","1998-11-27","9999-01-01"
12500,"Jackson","Luke","Engineer","1997-05-11","9999-01-01"
12524,"Tetsushi","Demeyer","Engineer","1996-12-19","9999-01-01"
12549,"Krister","Onuegbe","Staff","1998-09-15","9999-01-01"
12555,"Spyrose","DuCasse","Assistant Engineer","1995-07-23","9999-01-01"
12562,"Sven","Luby","Senior Staff","2002-06-24","9999-01-01"
12562,"Sven","Luby","Staff","1997-06-24","2002-06-24"
12571,"Abdelaziz","Candan","Assistant Engineer","1997-04-23","2002-04-23"
12571,"Abdelaziz","Candan","Engineer","2002-04-23","9999-01-01"
12577,"Takushi","Schrift","Engineer","1999-11-07","9999-01-01"
12584,"Zijian","Engberts","Engineer","1995-12-06","9999-01-01"
12588,"Yagil","Kenevan","Engineer","1997-02-08","2002-02-08"
12588,"Yagil","Kenevan","Senior Engineer","2002-02-08","9999-01-01"
12591,"Georgy","Makrucki","Staff","1997-10-15","9999-01-01"
12598,"Hatem","Farrow","Senior Staff","2001-10-28","9999-01-01"
12598,"Hatem","Farrow","Staff","1996-10-28","2001-10-28"
12613,"Niteen","Reeker","Technique Leader","1995-01-29","9999-01-01"
12643,"Morrie","Schurmann","Staff","1998-12-31","9999-01-01"
12648,"Sanjeeva","Speckmann","Assistant Engineer","1997-10-29","9999-01-01"
12657,"Weiru","Peroz","Assistant Engineer","1995-06-30","2001-06-29"
12657,"Weiru","Peroz","Engineer","2001-06-29","9999-01-01"
12659,"Abdulla","Fontan","Staff","1997-03-23","9999-01-01"
12666,"Stamatina","Prenel","Engineer","1998-04-19","9999-01-01"
12670,"Seongbae","Alameldin","Engineer","1999-09-10","9999-01-01"
12672,"Mayumi","Varman","Senior Engineer","1998-04-02","9999-01-01"
12673,"Jouni","Rajala","Staff","1997-04-22","9999-01-01"
12676,"Kien","Mellouli","Engineer","1998-04-28","9999-01-01"
12685,"Siamak","Openshaw","Staff","1996-11-02","9999-01-01"
12687,"Weicheng","Badache","Staff","1998-04-12","9999-01-01"
12702,"Byong","Rosca","Senior Staff","1996-10-02","9999-01-01"
12712,"Alagu","Chiodo","Engineer","1998-05-11","9999-01-01"
12719,"Tomokazu","Riexinger","Engineer","1996-11-05","9999-01-01"
12720,"Spyrose","Blokdijk","Staff","1995-11-03","9999-01-01"
12740,"Khalid","Ferretti","Staff","1998-05-15","9999-01-01"
12749,"Bernt","Keustermans","Senior Engineer","1995-05-23","9999-01-01"
12756,"Mohit","Braccini","Staff","1998-08-12","9999-01-01"
12761,"Hitofumi","Schaad","Senior Staff","2002-05-06","9999-01-01"
12761,"Hitofumi","Schaad","Staff","1996-05-06","2002-05-06"
12774,"Moon","Asrin","Engineer","1997-08-02","9999-01-01"
12786,"Weiyi","Schusler","Engineer","1999-12-08","9999-01-01"
12788,"Kristina","Olano","Assistant Engineer","1999-10-15","9999-01-01"
12789,"Sanjai","Felcyn","Engineer","1996-09-24","9999-01-01"
12821,"Arco","Gihr","Engineer","1997-05-04","9999-01-01"
12829,"Harngdar","Harbusch","Engineer","1995-07-06","2000-07-05"
12829,"Harngdar","Harbusch","Senior Engineer","2000-07-05","9999-01-01"
12834,"Tadahiro","Krohm","Senior Staff","1995-01-14","9999-01-01"
12837,"Jiakeng","Berstel","Staff","1997-03-21","9999-01-01"
12857,"Alagu","Gils","Senior Engineer","1995-07-05","9999-01-01"
12878,"Fox","Marsiglia","Engineer","1997-08-27","9999-01-01"
12921,"Guther","Gunderson","Senior Staff","2002-05-31","9999-01-01"
12921,"Guther","Gunderson","Staff","1997-05-31","2002-05-31"
13008,"Jayesh","Zaumen","Engineer","2000-01-07","9999-01-01"
13009,"Marc","Denis","Engineer","1997-01-23","9999-01-01"
13036,"Idoia","Heystek","Staff","1998-04-23","9999-01-01"
13045,"Dinah","Manderick","Engineer","1999-11-04","9999-01-01"
13064,"Kshitij","Haldar","Assistant Engineer","1997-01-21","9999-01-01"
13083,"Marek","Wilfing","Staff","1995-04-10","9999-01-01"
13093,"Sajjan","Unno","Staff","1999-09-18","9999-01-01"
13097,"Xuedong","Munke","Engineer","1996-01-22","9999-01-01"
13111,"Anwar","Krybus","Engineer","1997-08-10","9999-01-01"
13115,"Jianhua","Comellas","Senior Staff","2001-08-20","9999-01-01"
13115,"Jianhua","Comellas","Staff","1995-08-21","2001-08-20"
13131,"Takanari","Spelt","Staff","1996-06-24","9999-01-01"
13136,"Gao","Avouris","Engineer","1998-10-19","9999-01-01"
13153,"Hitofumi","Marakhovsky","Engineer","1995-10-05","9999-01-01"
13155,"Shir","Birke","Engineer","1998-03-19","9999-01-01"
13227,"Goncalo","Pell","Staff","1997-02-03","9999-01-01"
13259,"Cheong","Dredge","Senior Staff","2002-05-27","9999-01-01"
13259,"Cheong","Dredge","Staff","1996-05-27","2002-05-27"
13260,"JoAnna","McDermid","Technique Leader","1997-02-08","9999-01-01"
13275,"Genta","Homond","Staff","1998-05-10","9999-01-01"
13279,"Aram","Hegner","Staff","1995-02-18","9999-01-01"
13292,"Bokyung","Alpin","Senior Staff","2001-08-03","9999-01-01"
13292,"Bokyung","Alpin","Staff","1996-08-03","2001-08-03"
13309,"Toshimori","Lipner","Senior Engineer","1997-12-25","9999-01-01"
13310,"Moon","Lally","Technique Leader","1995-09-08","9999-01-01"
13361,"Wilmer","Baek","Staff","1996-05-03","9999-01-01"
13374,"Atreye","Kalefeld","Senior Engineer","1997-08-13","9999-01-01"
13378,"Rafols","Zhiwei","Technique Leader","1998-07-17","9999-01-01"
13381,"Halsur","Crouzet","Engineer","1999-01-26","9999-01-01"
13394,"Anneke","Lorys","Senior Staff","2001-03-05","9999-01-01"
13394,"Anneke","Lorys","Staff","1995-03-06","2001-03-05"
13401,"Przemyslawa","Pavlopoulou","Engineer","1998-05-10","9999-01-01"
13406,"Muneo","Oberman","Assistant Engineer","1996-03-04","9999-01-01"
13412,"Ranga","Erdmenger","Staff","1996-03-21","9999-01-01"
13416,"Fox","Billawala","Engineer","1996-04-11","2001-04-11"
13416,"Fox","Billawala","Senior Engineer","2001-04-11","9999-01-01"
13453,"Sugwoo","Lalonde","Senior Engineer","1995-01-09","9999-01-01"
13456,"Uzi","Erol","Senior Engineer","1999-06-13","9999-01-01"
13472,"Dzung","Larfeldt","Engineer","1997-08-28","9999-01-01"
13506,"Marjo","Isard","Staff","1995-10-20","9999-01-01"
13532,"Yannik","Bednarek","Engineer","1995-07-15","9999-01-01"
13548,"Francoise","Guenter","Engineer","1995-12-27","2000-12-26"
13548,"Francoise","Guenter","Senior Engineer","2000-12-26","9999-01-01"
13551,"Shuichi","Ducloy","Staff","1999-02-13","9999-01-01"
13573,"Petter","Escriba","Engineer","1998-09-26","9999-01-01"
13585,"Sugwoo","Bashian","Assistant Engineer","1997-06-08","9999-01-01"
13592,"Adam","Roccetti","Engineer","1996-11-14","9999-01-01"
13606,"Tuval","Feldmann","Staff","1996-11-04","9999-01-01"
13610,"Fumiko","Verspoor","Staff","1995-05-28","9999-01-01"
13611,"Yefim","Spell","Staff","1995-07-07","9999-01-01"
13617,"Prodip","Fioravanti","Engineer","1999-07-24","9999-01-01"
13623,"Breannda","Yeung","Engineer","1995-10-29","2001-10-28"
13623,"Breannda","Yeung","Senior Engineer","2001-10-28","9999-01-01"
13635,"Mani","Lorys","Engineer","1997-09-14","9999-01-01"
13674,"Shaowei","Demri","Engineer","1995-01-05","9999-01-01"
13694,"Pragnesh","Bodoff","Engineer","1998-11-07","9999-01-01"
13700,"Mingdong","Weedon","Staff","1998-12-11","9999-01-01"
13736,"Pranas","Albarhamtoshy","Staff","1999-04-03","9999-01-01"
13750,"Giao","Fendler","Engineer","1995-08-22","2000-08-21"
13750,"Giao","Fendler","Senior Engineer","2000-08-21","9999-01-01"
13752,"Kwangho","Otillio","Senior Staff","1999-08-27","9999-01-01"
13761,"Fabrizio","Atrawala","Senior Engineer","1997-08-09","9999-01-01"
13777,"Nidapan","Range","Staff","1997-11-16","9999-01-01"
13785,"Shietung","Legleitner","Staff","1998-07-11","9999-01-01"
13800,"Nikolaus","Gammage","Technique Leader","1998-03-25","9999-01-01"
13831,"Yinghua","Rikino","Technique Leader","1995-07-26","9999-01-01"
13834,"True","Peternell","Engineer","1996-08-05","2001-08-05"
13834,"True","Peternell","Senior Engineer","2001-08-05","9999-01-01"
13839,"Waiman","Weedon","Senior Engineer","2000-01-21","9999-01-01"
13844,"Jianhua","Vural","Staff","1995-06-28","9999-01-01"
13847,"Dhritiman","Gulik","Technique Leader","1998-06-02","9999-01-01"
13852,"Alassane","Silva","Senior Engineer","1996-12-24","9999-01-01"
13856,"Xiping","Conta","Senior Staff","1995-04-26","9999-01-01"
13861,"Parke","Serna","Engineer","1995-06-12","9999-01-01"
13866,"Macha","Fargier","Staff","1999-12-25","9999-01-01"
13873,"Itzchak","Msuda","Assistant Engineer","1995-03-11","2002-03-11"
13873,"Itzchak","Msuda","Engineer","2002-03-11","9999-01-01"
13888,"Xuedong","Reghbati","Assistant Engineer","1995-03-09","2000-03-08"
13888,"Xuedong","Reghbati","Engineer","2000-03-08","9999-01-01"
13891,"Mokhtar","Parascandalo","Staff","1999-04-06","9999-01-01"
13898,"Oguz","Hiroyama","Staff","1997-04-23","9999-01-01"
13903,"Sudhanshu","Pileggi","Engineer","1997-03-24","2002-03-24"
13903,"Sudhanshu","Pileggi","Senior Engineer","2002-03-24","9999-01-01"
13905,"Otilia","Haddadi","Engineer","1998-06-28","9999-01-01"
13913,"Xinan","Yoshizawa","Technique Leader","1997-12-18","9999-01-01"
13932,"Tommaso","Simmel","Staff","1997-10-08","9999-01-01"
13937,"Anestis","Egerstedt","Senior Staff","1995-07-12","9999-01-01"
13976,"Bedir","Peac","Engineer","1997-09-10","9999-01-01"
13991,"Adel","Brobst","Senior Engineer","1995-08-18","9999-01-01"
13993,"Troy","Marciano","Senior Staff","2000-02-15","9999-01-01"
13993,"Troy","Marciano","Staff","1995-02-15","2000-02-15"
14009,"Snehasis","Greibach","Senior Staff","2001-08-05","9999-01-01"
14009,"Snehasis","Greibach","Staff","1995-08-06","2001-08-05"
14011,"Katsuo","Peris","Engineer","1999-12-10","9999-01-01"
14025,"Stevo","Takanami","Staff","1999-08-08","9999-01-01"
14029,"Doohun","Luders","Senior Staff","1997-11-11","9999-01-01"
14033,"Emran","Erdmenger","Engineer","1995-03-04","9999-01-01"
14038,"Tokuyasu","Plesums","Engineer","1997-03-02","2002-03-02"
14038,"Tokuyasu","Plesums","Senior Engineer","2002-03-02","9999-01-01"
14039,"Ugo","Butterworth","Assistant Engineer","1999-11-09","9999-01-01"
14050,"Duangkaew","Botman","Staff","1995-10-30","9999-01-01"
14058,"Huai","Kobara","Engineer","1995-10-20","2000-10-19"
14058,"Huai","Kobara","Senior Engineer","2000-10-19","9999-01-01"
14064,"Jayesh","Ebeling","Staff","1998-05-07","9999-01-01"
14069,"Sibyl","Yurek","Engineer","1996-04-27","9999-01-01"
14079,"Augustine","Manderick","Technique Leader","1995-02-05","9999-01-01"
14084,"Deniz","Halloran","Engineer","1999-10-25","9999-01-01"
14099,"Mack","Poujol","Staff","1996-07-09","9999-01-01"
14112,"Younwoo","McDermid","Staff","1999-11-26","9999-01-01"
14117,"Janche","Pehl","Senior Staff","2000-12-24","9999-01-01"
14117,"Janche","Pehl","Staff","1995-12-25","2000-12-24"
14130,"Yuuichi","Stroustrup","Staff","1997-02-17","9999-01-01"
14140,"Kiam","Ramamoorthy","Senior Staff","1998-03-21","9999-01-01"
14145,"Mandell","Baranowski","Engineer","2000-01-13","9999-01-01"
14149,"Wonhee","Parascandalo","Staff","1995-10-23","9999-01-01"
14154,"Susumu","Mapelli","Senior Staff","1996-11-14","9999-01-01"
14163,"Arie","Hoppenstand","Technique Leader","1995-04-27","9999-01-01"
14168,"Jiann","Denis","Technique Leader","1997-06-01","9999-01-01"
14177,"Gino","Stille","Senior Staff","2001-03-16","9999-01-01"
14177,"Gino","Stille","Staff","1996-03-16","2001-03-16"
14178,"Stepehn","Begiun","Staff","1998-02-04","9999-01-01"
14199,"Tomoyuki","Peek","Senior Engineer","1995-03-31","9999-01-01"
14213,"Kinh","Radwan","Engineer","1996-06-17","2001-06-17"
